Rank,Countries,Node_Count,Avg_Weight,Variance,Score
1,"DEU, FRA, GBR, ITA, NLD, PRT",6,12.13,0.7822,1.2019
2,"BEL, FRA, GBR, ITA, NLD, PRT",6,12.07,0.7289,1.1924
3,"BEL, CHE, FRA, GBR, ITA, NLD",6,12.07,0.7289,1.1924
4,"AUT, BEL, CHE, ESP, ITA, NLD",6,11.93,0.9956,1.0533
5,"BEL, CHE, ITA, JPN",4,12.5,0.25,1.0196
6,"BEL, ESP, ITA, NLD, PRT",5,12.2,0.76,0.9857
7,"FRA, IRL, ITA, NLD, PRT",5,12.1,0.69,0.9682
8,"ESP, IRL, ITA, NLD, PRT",5,11.9,0.69,0.8882
9,"CAN, DEU, FRA, ITA, NLD",5,12.0,1.0,0.8286
10,"EST, LVA",2,13.0,0.0,0.8
11,"CHE, FRA, IRL, ITA, NLD",5,11.7,0.81,0.7696
12,"CHE, ESP, IRL, ITA, NLD",5,11.6,0.84,0.72
13,"BGR, HRV, ROU",3,12.33,0.2222,0.7119
14,"BEL, CHE, FIN, GBR",4,11.67,0.5556,0.5881
15,"AUT, DEU, ITA, NLD",4,11.83,0.8056,0.5744
16,"DEU, DNK, FIN, GBR",4,11.0,0.0,0.5
17,"CAN, ESP, ITA, NLD",4,11.67,0.8889,0.481
18,"AUS, CAN, KOR",3,11.67,0.2222,0.4452
19,"AUS, CHE, KOR",3,11.67,0.2222,0.4452
