cluster_1,cluster_2,完全一致数,名称相同但聚类不同数,仅前者有数,仅后者有数,簇1政策总数,簇2政策总数,完全一致占簇均值(%),名称相同不同占簇均值(%)
0,1,1,0,5,5,6,6,16.67,0.0
0,2,2,0,4,5,6,7,30.77,0.0
0,3,2,0,4,4,6,6,33.33,0.0
0,4,5,1,0,5,6,11,58.82,11.76
0,5,2,3,1,4,6,9,26.67,40.0
0,6,2,2,2,6,6,10,25.0,25.0
1,2,2,2,2,3,6,7,30.77,30.77
1,3,2,1,3,3,6,6,33.33,16.67
1,4,1,1,4,9,6,11,11.76,11.76
1,5,0,2,4,7,6,9,0.0,26.67
1,6,0,3,3,7,6,10,0.0,37.5
2,3,2,2,3,2,7,6,30.77,30.77
2,4,2,3,2,6,7,11,22.22,33.33
2,5,0,4,3,5,7,9,0.0,50.0
2,6,0,4,3,6,7,10,0.0,47.06
3,4,2,2,2,7,6,11,23.53,23.53
3,5,0,3,3,6,6,9,0.0,40.0
3,6,0,4,2,6,6,10,0.0,50.0
4,5,5,4,2,0,11,9,50.0,40.0
4,6,6,3,2,1,11,10,57.14,28.57
5,6,8,0,1,2,9,10,84.21,0.0
