Rank,Unique Countries,Full Members,Node Count (Unique),Node Count (Total),Avg Weight,Variance,Score,Common_Policies_Intersection
1,"AUT, BEL, DNK, ESP, FIN, FRA, HUN, IRL, ITA, PRT","AUT, BEL, DNK, ESP, FIN, FRA, HUN, IRL, ITA, PRT",10,10,11.56,1.358,1.1938,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
2,POL,"AUT, BEL, DNK, ESP, FIN, FRA, HUN, IRL, POL, PRT",1,10,11.51,1.3165,1.189,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
3,SVK,"AUT, BEL, DNK, ESP, HUN, ITA, SVK",1,7,11.71,1.0612,0.9474,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
4,GBR,"BEL, DNK, FIN, FRA, GBR, IRL, PRT",1,7,11.76,1.8005,0.779,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
5,NOR,"AUT, BEL, FIN, FRA, NOR, POL, PRT",1,7,11.24,1.1338,0.766,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
6,SWE,"BEL, DNK, FIN, FRA, GBR, PRT, SWE",1,7,11.52,1.5828,0.7518,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
7,DEU,"BEL, DEU, FIN, FRA, GBR, PRT, SWE",1,7,11.19,1.2018,0.7327,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
8,NLD,"AUT, BEL, ESP, IRL, ITA, NLD",1,6,11.33,1.0222,0.7016,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
9,"EST, LTU, LVA","EST, LTU, LVA",3,3,12.0,0.6667,0.644,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
10,CZE,"AUT, BEL, CZE, ESP, POL, SVK",1,6,11.2,1.36,0.5714,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
11,JPN,"BEL, CZE, ESP, JPN, POL, SVK",1,6,10.73,0.7289,0.5692,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
12,"BGR, HRV, ROU","BGR, HRV, ROU",3,3,12.33,1.5556,0.5361,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – non market-based instruments
13,"ISL, ZAF","ISL, ZAF",2,2,11.0,0.0,0.3429,Buildings – market-based instruments; Buildings – non market-based instruments; Climate governance; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
